relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.1,0.2,0.95,0.05,0.0013095238095238095,0.06060606060606061,0.15151515151515152,18
0.1,0.2,0.95,0.1,0.009682539682539683,0.10655737704918032,0.1574074074074074,40
0.1,0.2,0.95,0.2,0.03238095238095238,0.21568627450980393,0.25206316590563166,49
0.1,0.2,0.95,0.3,0.04853174603174603,0.3851185609157809,0.41977374565562187,50
0.1,0.2,0.95,0.5,0.06472222222222222,0.5254445125689761,0.5602803690326873,50
0.1,0.3,0.8,0.05,0.0020634920634920637,0.038461538461538464,0.0972391598915989,25
0.1,0.3,0.8,0.1,0.015476190476190477,0.08205128205128205,0.11497459893048129,47
0.1,0.3,0.8,0.2,0.05587301587301587,0.23792613636363635,0.2671217581477167,50
0.1,0.3,0.8,0.3,0.08543650793650794,0.41569902461681374,0.44655094680891644,50
0.1,0.3,0.8,0.5,0.11742063492063493,0.558972625887124,0.5858757966807597,50
0.1,0.3,0.9,0.05,0.0018253968253968255,0.043478260869565216,0.10813748531139833,23
0.1,0.3,0.9,0.1,0.014603174603174604,0.08695652173913043,0.12149651011475215,47
0.1,0.3,0.9,0.2,0.05333333333333334,0.2425595238095238,0.27364743185481044,50
0.1,0.3,0.9,0.3,0.08174603174603175,0.4223300970873786,0.4525108351317815,50
0.1,0.3,0.9,0.5,0.11242063492063492,0.5651253088598659,0.5915799505824215,50
0.1,0.3,0.95,0.05,0.0018253968253968255,0.043478260869565216,0.10869565217391304,23
0.1,0.3,0.95,0.1,0.014325396825396826,0.0886426592797784,0.1246376811594203,46
0.1,0.3,0.95,0.2,0.051349206349206346,0.24343122102009274,0.2747540540092868,50
0.1,0.3,0.95,0.3,0.07837301587301587,0.42481012658227846,0.45422008434370054,50
0.1,0.3,0.95,0.5,0.10801587301587301,0.5698016164584864,0.5962603092607398,50
0.1,0.5,0.8,0.05,0.002619047619047619,0.030303030303030304,0.07547169811320754,25
0.1,0.5,0.8,0.1,0.017777777777777778,0.08928571428571429,0.1212184607582097,48
0.1,0.5,0.8,0.2,0.06349206349206349,0.245,0.27329118596748925,50
